tau=0.25
t=0 	x=0.1 	r_E=0.1 	Err=0
t=65.5 	r=4.56791 	r_E=4.5672 	Err=0.0105868
t=65.75 	r=4.57661 	r_E=4.5759 	Err=0.0105868
t=66 	r=4.58529 	r_E=4.58459 	Err=0.0105868
t=66.25 	r=4.59396 	r_E=4.59326 	Err=0.0105868
t=66.5 	r=4.60262 	r_E=4.60191 	Err=0.0105868
t=66.75 	r=4.61125 	r_E=4.61055 	Err=0.0105868
t=67 	r=4.61987 	r_E=4.61917 	Err=0.0105868
t=67.25 	r=4.62848 	r_E=4.62778 	Err=0.0105868
t=67.5 	r=4.63707 	r_E=4.63637 	Err=0.0105868
t=67.75 	r=4.64564 	r_E=4.64494 	Err=0.0105868
t=68 	r=4.6542 	r_E=4.6535 	Err=0.0105868
t=68.25 	r=4.66274 	r_E=4.66204 	Err=0.0105868
t=68.5 	r=4.67126 	r_E=4.67057 	Err=0.0105868
t=68.75 	r=4.67977 	r_E=4.67908 	Err=0.0105868
t=69 	r=4.68827 	r_E=4.68758 	Err=0.0105868
t=69.25 	r=4.69675 	r_E=4.69606 	Err=0.0105868
t=69.5 	r=4.70521 	r_E=4.70452 	Err=0.0105868
t=69.75 	r=4.71366 	r_E=4.71297 	Err=0.0105868
t=70 	r=4.72209 	r_E=4.72141 	Err=0.0105868
t=70.25 	r=4.73051 	r_E=4.72983 	Err=0.0105868
t=70.5 	r=4.73892 	r_E=4.73823 	Err=0.0105868
t=70.75 	r=4.7473 	r_E=4.74662 	Err=0.0105868
t=71 	r=4.75568 	r_E=4.755 	Err=0.0105868
t=71.25 	r=4.76404 	r_E=4.76336 	Err=0.0105868
t=71.5 	r=4.77238 	r_E=4.7717 	Err=0.0105868
t=71.75 	r=4.78071 	r_E=4.78003 	Err=0.0105868
t=72 	r=4.78903 	r_E=4.78835 	Err=0.0105868
t=72.25 	r=4.79733 	r_E=4.79665 	Err=0.0105868
t=72.5 	r=4.80562 	r_E=4.80494 	Err=0.0105868
t=72.75 	r=4.81389 	r_E=4.81322 	Err=0.0105868
t=73 	r=4.82215 	r_E=4.82148 	Err=0.0105868
t=73.25 	r=4.83039 	r_E=4.82972 	Err=0.0105868
t=73.5 	r=4.83862 	r_E=4.83795 	Err=0.0105868
t=73.75 	r=4.84684 	r_E=4.84617 	Err=0.0105868
t=74 	r=4.85504 	r_E=4.85437 	Err=0.0105868
t=74.25 	r=4.86323 	r_E=4.86256 	Err=0.0105868
t=74.5 	r=4.8714 	r_E=4.87074 	Err=0.0105868
t=74.75 	r=4.87956 	r_E=4.8789 	Err=0.0105868
t=75 	r=4.88771 	r_E=4.88705 	Err=0.0105868
t=75.25 	r=4.89584 	r_E=4.89518 	Err=0.0105868
t=75.5 	r=4.90396 	r_E=4.9033 	Err=0.0105868
t=75.75 	r=4.91207 	r_E=4.91141 	Err=0.0105868
t=76 	r=4.92017 	r_E=4.91951 	Err=0.0105868
t=76.25 	r=4.92825 	r_E=4.92759 	Err=0.0105868
t=76.5 	r=4.93631 	r_E=4.93566 	Err=0.0105868
t=76.75 	r=4.94437 	r_E=4.94371 	Err=0.0105868
t=77 	r=4.95241 	r_E=4.95175 	Err=0.0105868
t=77.25 	r=4.96043 	r_E=4.95978 	Err=0.0105868
t=77.5 	r=4.96845 	r_E=4.9678 	Err=0.0105868
t=77.75 	r=4.97645 	r_E=4.9758 	Err=0.0105868
t=78 	r=4.98444 	r_E=4.98379 	Err=0.0105868
t=78.25 	r=4.99242 	r_E=4.99177 	Err=0.0105868
t=78.5 	r=5.00038 	r_E=4.99973 	Err=0.0105868
t=78.75 	r=5.00833 	r_E=5.00768 	Err=0.0105868
t=79 	r=5.01627 	r_E=5.01562 	Err=0.0105868
t=79.25 	r=5.02419 	r_E=5.02355 	Err=0.0105868
t=79.5 	r=5.03211 	r_E=5.03146 	Err=0.0105868
t=79.75 	r=5.04001 	r_E=5.03937 	Err=0.0105868
t=80 	r=5.0479 	r_E=5.04726 	Err=0.0105868
t=80.25 	r=5.05577 	r_E=5.05513 	Err=0.0105868
t=80.5 	r=5.06364 	r_E=5.063 	Err=0.0105868
t=80.75 	r=5.07149 	r_E=5.07085 	Err=0.0105868
t=81 	r=5.07933 	r_E=5.07869 	Err=0.0105868
t=81.25 	r=5.08716 	r_E=5.08652 	Err=0.0105868
t=81.5 	r=5.09497 	r_E=5.09434 	Err=0.0105868
t=81.75 	r=5.10277 	r_E=5.10214 	Err=0.0105868
t=82 	r=5.11057 	r_E=5.10993 	Err=0.0105868
t=82.25 	r=5.11835 	r_E=5.11771 	Err=0.0105868
t=82.5 	r=5.12611 	r_E=5.12548 	Err=0.0105868
t=82.75 	r=5.13387 	r_E=5.13324 	Err=0.0105868
t=83 	r=5.14161 	r_E=5.14098 	Err=0.0105868
t=83.25 	r=5.14935 	r_E=5.14872 	Err=0.0105868
t=83.5 	r=5.15707 	r_E=5.15644 	Err=0.0105868
t=83.75 	r=5.16478 	r_E=5.16415 	Err=0.0105868
t=84 	r=5.17248 	r_E=5.17185 	Err=0.0105868
t=84.25 	r=5.18016 	r_E=5.17954 	Err=0.0105868
t=84.5 	r=5.18784 	r_E=5.18721 	Err=0.0105868
t=84.75 	r=5.1955 	r_E=5.19488 	Err=0.0105868
t=85 	r=5.20315 	r_E=5.20253 	Err=0.0105868
t=85.25 	r=5.2108 	r_E=5.21017 	Err=0.0105868
t=85.5 	r=5.21843 	r_E=5.21781 	Err=0.0105868
t=85.75 	r=5.22604 	r_E=5.22543 	Err=0.0105868
t=86 	r=5.23365 	r_E=5.23303 	Err=0.0105868
t=86.25 	r=5.24125 	r_E=5.24063 	Err=0.0105868
t=86.5 	r=5.24884 	r_E=5.24822 	Err=0.0105868
t=86.75 	r=5.25641 	r_E=5.2558 	Err=0.0105868
t=87 	r=5.26398 	r_E=5.26336 	Err=0.0105868
t=87.25 	r=5.27153 	r_E=5.27091 	Err=0.0105868
t=87.5 	r=5.27907 	r_E=5.27846 	Err=0.0105868
t=87.75 	r=5.2866 	r_E=5.28599 	Err=0.0105868
t=88 	r=5.29412 	r_E=5.29351 	Err=0.0105868
t=88.25 	r=5.30163 	r_E=5.30102 	Err=0.0105868
t=88.5 	r=5.30913 	r_E=5.30852 	Err=0.0105868
t=88.75 	r=5.31662 	r_E=5.31601 	Err=0.0105868
t=89 	r=5.3241 	r_E=5.32349 	Err=0.0105868
t=89.25 	r=5.33157 	r_E=5.33096 	Err=0.0105868
t=89.5 	r=5.33903 	r_E=5.33842 	Err=0.0105868
t=89.75 	r=5.34647 	r_E=5.34587 	Err=0.0105868
t=90 	r=5.35391 	r_E=5.35331 	Err=0.0105868
t=90.25 	r=5.36134 	r_E=5.36073 	Err=0.0105868
t=90.5 	r=5.36875 	r_E=5.36815 	Err=0.0105868
t=90.75 	r=5.37616 	r_E=5.37556 	Err=0.0105868
t=91 	r=5.38356 	r_E=5.38295 	Err=0.0105868
t=91.25 	r=5.39094 	r_E=5.39034 	Err=0.0105868
t=91.5 	r=5.39832 	r_E=5.39772 	Err=0.0105868
t=91.75 	r=5.40568 	r_E=5.40508 	Err=0.0105868
t=92 	r=5.41304 	r_E=5.41244 	Err=0.0105868
t=92.25 	r=5.42038 	r_E=5.41979 	Err=0.0105868
t=92.5 	r=5.42772 	r_E=5.42712 	Err=0.0105868
t=92.75 	r=5.43505 	r_E=5.43445 	Err=0.0105868
t=93 	r=5.44236 	r_E=5.44177 	Err=0.0105868
t=93.25 	r=5.44967 	r_E=5.44907 	Err=0.0105868
t=93.5 	r=5.45696 	r_E=5.45637 	Err=0.0105868
t=93.75 	r=5.46425 	r_E=5.46366 	Err=0.0105868
t=94 	r=5.47153 	r_E=5.47093 	Err=0.0105868
t=94.25 	r=5.47879 	r_E=5.4782 	Err=0.0105868
t=94.5 	r=5.48605 	r_E=5.48546 	Err=0.0105868
t=94.75 	r=5.4933 	r_E=5.49271 	Err=0.0105868
t=95 	r=5.50054 	r_E=5.49995 	Err=0.0105868
t=95.25 	r=5.50777 	r_E=5.50718 	Err=0.0105868
t=95.5 	r=5.51499 	r_E=5.5144 	Err=0.0105868
t=95.75 	r=5.5222 	r_E=5.52161 	Err=0.0105868
t=96 	r=5.5294 	r_E=5.52881 	Err=0.0105868
t=96.25 	r=5.53659 	r_E=5.536 	Err=0.0105868
t=96.5 	r=5.54377 	r_E=5.54319 	Err=0.0105868
t=96.75 	r=5.55094 	r_E=5.55036 	Err=0.0105868
t=97 	r=5.55811 	r_E=5.55752 	Err=0.0105868
t=97.25 	r=5.56526 	r_E=5.56468 	Err=0.0105868
t=97.5 	r=5.5724 	r_E=5.57182 	Err=0.0105868
t=97.75 	r=5.57954 	r_E=5.57896 	Err=0.0105868
t=98 	r=5.58667 	r_E=5.58609 	Err=0.0105868
t=98.25 	r=5.59378 	r_E=5.59321 	Err=0.0105868
