tau=0.5
t=0 	r=0.1 	x_E=0.1 	Err=0
t=204.5 	r=8.11881 	r_E=8.06873 	Err=0.48449
t=205 	r=8.12861 	r_E=8.07858 	Err=0.48449
t=205.5 	r=8.1384 	r_E=8.08843 	Err=0.48449
t=206 	r=8.14818 	r_E=8.09826 	Err=0.48449
t=206.5 	r=8.15795 	r_E=8.10808 	Err=0.48449
t=207 	r=8.1677 	r_E=8.11789 	Err=0.48449
t=207.5 	r=8.17744 	r_E=8.12769 	Err=0.48449
t=208 	r=8.18717 	r_E=8.13747 	Err=0.48449
t=208.5 	r=8.19689 	r_E=8.14725 	Err=0.48449
t=209 	r=8.2066 	r_E=8.15701 	Err=0.48449
t=209.5 	r=8.2163 	r_E=8.16676 	Err=0.48449
t=210 	r=8.22598 	r_E=8.1765 	Err=0.48449
t=210.5 	r=8.23566 	r_E=8.18622 	Err=0.48449
t=211 	r=8.24532 	r_E=8.19594 	Err=0.48449
t=211.5 	r=8.25497 	r_E=8.20564 	Err=0.48449
t=212 	r=8.26461 	r_E=8.21533 	Err=0.48449
t=212.5 	r=8.27424 	r_E=8.22501 	Err=0.48449
t=213 	r=8.28386 	r_E=8.23468 	Err=0.48449
t=213.5 	r=8.29346 	r_E=8.24434 	Err=0.48449
t=214 	r=8.30306 	r_E=8.25399 	Err=0.48449
t=214.5 	r=8.31264 	r_E=8.26362 	Err=0.48449
t=215 	r=8.32222 	r_E=8.27325 	Err=0.48449
t=215.5 	r=8.33178 	r_E=8.28286 	Err=0.48449
t=216 	r=8.34133 	r_E=8.29246 	Err=0.48449
