tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=153.5 	r=7.07233 	r_E=7.0612 	Err=0.0149418
t=154 	r=7.08358 	r_E=7.07246 	Err=0.0149418
t=154.5 	r=7.09482 	r_E=7.08371 	Err=0.0149418
t=155 	r=7.10603 	r_E=7.09493 	Err=0.0149418
t=155.5 	r=7.11723 	r_E=7.10614 	Err=0.0149418
t=156 	r=7.12841 	r_E=7.11733 	Err=0.0149418
t=156.5 	r=7.13957 	r_E=7.1285 	Err=0.0149418
t=157 	r=7.15072 	r_E=7.13965 	Err=0.0149418
t=157.5 	r=7.16185 	r_E=7.15079 	Err=0.0149418
t=158 	r=7.17296 	r_E=7.16191 	Err=0.0149418
t=158.5 	r=7.18405 	r_E=7.17301 	Err=0.0149418
t=159 	r=7.19513 	r_E=7.1841 	Err=0.0149418
t=159.5 	r=7.20619 	r_E=7.19517 	Err=0.0149418
t=160 	r=7.21723 	r_E=7.20622 	Err=0.0149418
t=160.5 	r=7.22826 	r_E=7.21725 	Err=0.0149418
t=161 	r=7.23927 	r_E=7.22827 	Err=0.0149418
t=161.5 	r=7.25026 	r_E=7.23927 	Err=0.0149418
t=162 	r=7.26124 	r_E=7.25026 	Err=0.0149418
t=162.5 	r=7.2722 	r_E=7.26122 	Err=0.0149418
t=163 	r=7.28314 	r_E=7.27217 	Err=0.0149418
t=163.5 	r=7.29407 	r_E=7.28311 	Err=0.0149418
t=164 	r=7.30498 	r_E=7.29403 	Err=0.0149418
t=164.5 	r=7.31587 	r_E=7.30493 	Err=0.0149418
t=165 	r=7.32675 	r_E=7.31581 	Err=0.0149418
t=165.5 	r=7.33761 	r_E=7.32668 	Err=0.0149418
t=166 	r=7.34845 	r_E=7.33754 	Err=0.0149418
t=166.5 	r=7.35928 	r_E=7.34837 	Err=0.0149418
t=167 	r=7.3701 	r_E=7.35919 	Err=0.0149418
t=167.5 	r=7.38089 	r_E=7.37 	Err=0.0149418
t=168 	r=7.39167 	r_E=7.38079 	Err=0.0149418
t=168.5 	r=7.40244 	r_E=7.39156 	Err=0.0149418
t=169 	r=7.41319 	r_E=7.40232 	Err=0.0149418
t=169.5 	r=7.42393 	r_E=7.41306 	Err=0.0149418
t=170 	r=7.43464 	r_E=7.42379 	Err=0.0149418
t=170.5 	r=7.44535 	r_E=7.4345 	Err=0.0149418
t=171 	r=7.45604 	r_E=7.4452 	Err=0.0149418
t=171.5 	r=7.46671 	r_E=7.45588 	Err=0.0149418
t=172 	r=7.47737 	r_E=7.46655 	Err=0.0149418
t=172.5 	r=7.48801 	r_E=7.4772 	Err=0.0149418
t=173 	r=7.49864 	r_E=7.48783 	Err=0.0149418
t=173.5 	r=7.50925 	r_E=7.49845 	Err=0.0149418
t=174 	r=7.51985 	r_E=7.50906 	Err=0.0149418
t=174.5 	r=7.53043 	r_E=7.51965 	Err=0.0149418
t=175 	r=7.541 	r_E=7.53022 	Err=0.0149418
t=175.5 	r=7.55155 	r_E=7.54078 	Err=0.0149418
t=176 	r=7.56209 	r_E=7.55133 	Err=0.0149418
t=176.5 	r=7.57261 	r_E=7.56186 	Err=0.0149418
t=177 	r=7.58312 	r_E=7.57237 	Err=0.0149418
t=177.5 	r=7.59361 	r_E=7.58288 	Err=0.0149418
t=178 	r=7.60409 	r_E=7.59336 	Err=0.0149418
t=178.5 	r=7.61456 	r_E=7.60384 	Err=0.0149418
t=179 	r=7.62501 	r_E=7.61429 	Err=0.0149418
t=179.5 	r=7.63544 	r_E=7.62474 	Err=0.0149418
t=180 	r=7.64587 	r_E=7.63517 	Err=0.0149418
t=180.5 	r=7.65627 	r_E=7.64558 	Err=0.0149418
t=181 	r=7.66667 	r_E=7.65598 	Err=0.0149418
t=181.5 	r=7.67705 	r_E=7.66637 	Err=0.0149418
t=182 	r=7.68741 	r_E=7.67674 	Err=0.0149418
t=182.5 	r=7.69776 	r_E=7.6871 	Err=0.0149418
t=183 	r=7.7081 	r_E=7.69745 	Err=0.0149418
t=183.5 	r=7.71843 	r_E=7.70778 	Err=0.0149418
t=184 	r=7.72874 	r_E=7.7181 	Err=0.0149418
t=184.5 	r=7.73903 	r_E=7.7284 	Err=0.0149418
t=185 	r=7.74932 	r_E=7.73869 	Err=0.0149418
t=185.5 	r=7.75958 	r_E=7.74897 	Err=0.0149418
t=186 	r=7.76984 	r_E=7.75923 	Err=0.0149418
t=186.5 	r=7.78008 	r_E=7.76948 	Err=0.0149418
t=187 	r=7.79031 	r_E=7.77971 	Err=0.0149418
t=187.5 	r=7.80052 	r_E=7.78994 	Err=0.0149418
t=188 	r=7.81073 	r_E=7.80014 	Err=0.0149418
t=188.5 	r=7.82091 	r_E=7.81034 	Err=0.0149418
t=189 	r=7.83109 	r_E=7.82052 	Err=0.0149418
t=189.5 	r=7.84125 	r_E=7.83069 	Err=0.0149418
t=190 	r=7.8514 	r_E=7.84085 	Err=0.0149418
t=190.5 	r=7.86154 	r_E=7.85099 	Err=0.0149418
